make[1]: Entering directory '/home/runner/work/mddb/mddb'
[36mvite v7.3.1 [32mbuilding client environment for production...[36m[39m
transforming...
[32m✓[39m 53 modules transformed.
rendering chunks...
computing gzip size...
[2m../backend/frontend/dist/[22m[36msw.mjs  [39m[1m[2m15.97 kB[22m[1m[22m[2m │ gzip: 5.36 kB[22m[2m │ map: 139.17 kB[22m
[32m✓ built in 350ms[39m
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
INF OAuth providers initialized providers="[google microsoft github]"
INF Starting server addr=localhost:8080 baseURL=http://localhost:8080 version=v0.0.0-20260210014954-9b017ed2c2b2+dirty
INF http m=GET p=/api/v1/health s=200 d=60µs s=160
INF http m=POST p=/api/v1/auth/register s=200 d=76.8ms s=468
INF http m=POST p=/api/v1/auth/register s=200 d=80.5ms s=491
INF http m=GET p=/ s=200 d=55µs s=1227
INF http m=GET p=/ s=200 d=17µs s=1227
INF http m=GET p=/assets/index-DKx8LQZ3.js s=200 d=263µs s=107476
INF http m=GET p=/assets/index-DKx8LQZ3.js s=200 d=165µs s=107476
INF http m=GET p=/assets/vendor-BFNoaq9W.js s=200 d=324µs s=87451
INF http m=GET p=/assets/vendor-BFNoaq9W.js s=200 d=597µs s=87451
INF http m=GET p=/assets/index-Hymz4ZC4.css s=200 d=117µs s=44698
INF http m=GET p=/assets/editor-vendor-BEwVq1OK.js s=200 d=286µs s=314634
INF http m=GET p=/assets/index-Hymz4ZC4.css s=200 d=102µs s=44698
INF http m=GET p=/registerSW.js s=200 d=52µs s=134
INF http m=GET p=/assets/editor-vendor-BEwVq1OK.js s=200 d=258µs s=314634
INF http m=GET p=/registerSW.js s=200 d=30µs s=134
INF http m=GET p=/api/v1/auth/me s=200 d=160µs s=205
INF http m=GET p=/api/v1/auth/me s=200 d=212µs s=228
INF http m=GET p=/assets/en-aHYPxoow.js s=200 d=104µs s=14597
INF http m=GET p=/assets/en-aHYPxoow.js s=200 d=82µs s=14597
INF http m=GET p=/sw.js s=200 d=848µs s=18490
INF http m=GET p=/sw.js s=200 d=775µs s=18490
INF http m=GET p=/favicon.png s=200 d=40µs s=444
INF http m=GET p=/favicon.png s=200 d=26µs s=444
INF http m=GET p=/assets/Onboarding-DJux7IDU.js s=200 d=36µs s=2514
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=98µs s=12
INF http m=GET p=/assets/Onboarding-DJux7IDU.js s=200 d=31µs s=2514
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=67µs s=12
INF http m=POST p=/api/v1/organizations s=200 d=11.8ms s=651
INF http m=POST p=/api/v1/organizations s=200 d=15.5ms s=651
INF http m=GET p=/api/v1/auth/me s=200 d=117µs s=446
INF http m=GET p=/api/v1/auth/me s=200 d=87µs s=469
INF http m=GET p=/registerSW.js s=200 d=29µs s=134
INF http m=GET p=/registerSW.js s=200 d=21µs s=134
INF http m=POST p=/api/v1/organizations/K4VFDPI2000/workspaces s=200 d=89.1ms s=359
INF http m=GET p=/index.html s=301 d=22µs
INF http m=GET p=/index.html s=301 d=11µs
INF http m=GET p=/ s=200 d=15µs s=1227
INF http m=GET p=/ s=200 d=24µs s=1227
INF http m=GET p=/icon.svg s=200 d=26µs s=294
INF http m=GET p=/icon.svg s=200 d=20µs s=294
INF http m=GET p=/icon-512.png s=200 d=201µs s=11284
INF http m=GET p=/icon-512.png s=200 d=65µs s=11284
INF http m=GET p=/icon-192.png s=200 d=60µs s=2745
INF http m=GET p=/icon-192.png s=200 d=29µs s=2745
INF http m=GET p=/favicon.png s=200 d=20µs s=444
INF http m=GET p=/favicon.png s=200 d=20µs s=444
INF http m=GET p=/apple-touch-icon.png s=200 d=63µs s=2597
INF http m=GET p=/apple-touch-icon.png s=200 d=44µs s=2597
INF http m=GET p=/assets/fr-DlBCnmbp.js s=200 d=913µs s=16823
INF http m=GET p=/assets/fr-DlBCnmbp.js s=200 d=117µs s=16823
INF http m=GET p=/assets/es-Co7IUcHz.js s=200 d=97µs s=16549
INF http m=GET p=/assets/es-Co7IUcHz.js s=200 d=62µs s=16549
INF http m=GET p=/assets/de-CxY6u42z.js s=200 d=113µs s=16586
INF http m=GET p=/assets/de-CxY6u42z.js s=200 d=74µs s=16586
INF http m=GET p=/assets/WorkspaceSettingsPanel-DgrSmito.css s=200 d=93µs s=4977
INF http m=GET p=/assets/WorkspaceSettingsPanel-DgrSmito.css s=200 d=57µs s=4977
INF http m=POST p=/api/v1/organizations/K4VFDPNS000/workspaces s=200 d=186ms s=359
INF http m=GET p=/assets/WorkspaceSettingsPanel-CtQG9Uhz.js s=200 d=215µs s=16361
INF http m=GET p=/assets/WorkspaceSettingsPanel-CtQG9Uhz.js s=200 d=104µs s=16361
INF http m=GET p=/assets/Terms-DJXNYmiE.js s=200 d=31µs s=2568
INF http m=POST p=/api/v1/auth/switch-workspace s=200 d=99.6ms s=1043
INF http m=GET p=/assets/Terms-DJXNYmiE.js s=200 d=31µs s=2568
INF http m=GET p=/assets/ServerSettingsPanel-Sr6gkhWw.js s=200 d=66µs s=10745
INF http m=GET p=/assets/ServerSettingsPanel-Sr6gkhWw.js s=200 d=882µs s=10745
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=28µs s=2417
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=26µs s=2417
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=55µs s=6652
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=61µs s=6652
INF http m=GET p=/assets/ProfileSettings-B_bJfTXk.js s=200 d=62µs s=14578
INF http m=POST p=/api/v1/auth/switch-workspace s=200 d=22.8ms s=1020
INF http m=GET p=/assets/ProfileSettings-B_bJfTXk.js s=200 d=74µs s=14578
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=21µs s=1034
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=19µs s=1034
INF http m=GET p=/assets/Privacy-CLREmNRv.js s=200 d=32µs s=2346
INF http m=GET p=/assets/Privacy-CLREmNRv.js s=200 d=50µs s=2346
